timestamp,key_value,key_event
1741926792.455,e,KU
1741926792.563,e,KD
1741926792.617,e,KU
1741926792.718,e,KD
1741926792.777,e,KU
1741926792.875,e,KD
1741926792.931,e,KU
1741926793.025, ,KD
1741926793.089, ,KU
1741926793.239,b,KD
1741926793.298,b,KU
1741926793.567,o,KD
1741926793.651,o,KU
1741926793.759,i,KD
1741926793.819,i,KU
1741926793.925,i,KD
1741926793.985,i,KU
1741926794.071,i,KD
1741926794.143,i,KU
1741926794.223,s,KD
1741926794.287,s,KU
1741926795.105, ,KD
1741926795.163, ,KU
1741926795.273,t,KD
1741926795.313,t,KU
1741926795.335,h,KD
1741926795.371,h,KU
1741926795.463,i,KD
1741926795.539,i,KU
1741926795.591,s,KD
1741926795.651,s,KU
1741926795.703, ,KD
1741926795.769, ,KU
1741926795.825,w,KD
1741926795.885,w,KU
1741926795.929,o,KD
1741926796.007,o,KU
1741926796.097,r,KD
1741926796.170,r,KU
1741926796.215,k,KD
1741926796.298,k,KU
1741926796.395,k,KD
1741926796.461,k,KU
1741926796.540,s,KD
1741926796.587,s,KU
1741926796.701,s,KD
1741926796.761,s,KU
1741926796.870,s,KD
1741926796.925,s,KU
1741926797.034,s,KD
1741926797.093,s,KU
1741926797.197,s,KD
1741926797.258,s,KU
1741926797.367,s,KD
1741926797.427,s,KU
1741926797.532,s,KD
1741926797.593,s,KU
1741926797.732, ,KD
1741926797.787, ,KU
1741926797.885,Shift_L,KD
1741926798.213,M,KD
1741926798.266,M,KU
1741926798.291,Shift_L,KU
1741926798.403,e,KD
1741926798.463,e,KU
1741926798.508, ,KD
1741926798.575, ,KU
1741926798.665,i,KD
1741926798.721,i,KU
1741926798.797,s,KD
1741926798.845,s,KU
1741926798.924, ,KD
1741926799.013, ,KU
1741926799.179,s,KD
1741926799.245,s,KU
1741926799.283,o,KD
1741926799.347,o,KU
1741926799.457,o,KD
1741926799.515,o,KU
1741926799.594,o,KD
1741926799.661,o,KU
1741926799.819, ,KD
1741926799.905, ,KU
